weather_id,mine_id,date,rainfall_mm,temperature_c,wind_speed_kmh,humidity_pct,remark
W00000-1,MINE_1,2018-12-31,0.7165909,27.02657000000005,0.2547736234232039,87.21737033748508,Mendung
W00001-1,MINE_1,2019-01-01,1.3282776,26.073720000000037,0.07444221740166715,91.92140284206762,Hujan ringan
W00002-1,MINE_1,2019-01-02,0.81338885,26.448540000000037,0.20793099783524374,92.0483750739596,Mendung
W00003-1,MINE_1,2019-01-03,0.1586914,26.32665000000003,0.1573336671521601,89.6556126808259,Mendung
W00004-1,MINE_1,2019-01-04,0.036811827,27.874000000000024,0.3130253010348703,88.38271910366433,Mendung
W00005-1,MINE_1,2019-01-05,0.88386534,27.525930000000017,0.2727061272950753,88.22594142627628,Mendung
W00006-1,MINE_1,2019-01-06,0.014305115,29.193100000000015,0.3534684719219735,76.39990358994908,Berawan
W00007-1,MINE_1,2019-01-07,1.2589454,27.344449999999995,0.3459809506699844,88.13818961900559,Hujan ringan
W00008-1,MINE_1,2019-01-08,0.21791458,26.54516000000001,0.1460129994671353,91.2382366740404,Mendung
W00009-1,MINE_1,2019-01-09,0.03643036,26.67500000000001,0.23718341981199148,86.89188383697383,Mendung
W00010-1,MINE_1,2019-01-10,0.27503967,27.48177000000004,0.13178821366829585,82.61396600935778,Berawan
W00011-1,MINE_1,2019-01-11,0.03232956,25.908780000000036,0.1462596878843274,89.79777717151622,Mendung
W00012-1,MINE_1,2019-01-12,0.655365,27.45938000000001,0.3019977304886069,86.6442717226136,Mendung
W00013-1,MINE_1,2019-01-13,0.537014,25.93365,0.18316080405140292,92.86062308528744,Mendung
W00014-1,MINE_1,2019-01-14,0.26903152999999996,25.192679999999996,0.22022770798482152,94.121853839272,Mendung
W00015-1,MINE_1,2019-01-15,0.3170967,25.560270000000003,0.07786759788681306,93.83975027061904,Mendung
W00016-1,MINE_1,2019-01-16,0.61340333,25.75460000000004,0.11505231794856947,88.51869073841355,Mendung
W00017-1,MINE_1,2019-01-17,0.0027656556,26.638400000000047,0.30671424469622477,87.63000583427181,Mendung
W00018-1,MINE_1,2019-01-18,0.011253357,28.125,0.24102026674136542,82.59369881720656,Mendung
W00019-1,MINE_1,2019-01-19,0.29630662,26.44344000000001,0.2533608470277333,92.99291353508244,Mendung
W00020-1,MINE_1,2019-01-20,0.6812095499999999,25.376760000000047,0.1373639738530703,94.0831191018654,Mendung
W00021-1,MINE_1,2019-01-21,0.28123855,25.101530000000025,0.1970470091843393,94.48045526128314,Mendung
W00022-1,MINE_1,2019-01-22,1.1309624,25.593470000000025,0.43554805070301755,90.86866758837536,Hujan ringan
W00023-1,MINE_1,2019-01-23,0.011348724,27.38253000000003,0.11336463061064686,82.01345380489761,Mendung
